ibge;anomes;cadunico_tot_fam;cadunico_tot_pes;cadunico_tot_fam_rpc_ate_meio_sm;cadunico_tot_pes_rpc_ate_meio_sm;cadunico_tot_fam_pob;cadunico_tot_pes_pob;cadunico_tot_fam_ext_pob;cadunico_tot_pes_ext_pob;cadunico_tot_fam_pob_e_ext_pob;cadunico_tot_pes_pob_e_ext_pob
110001;200812;3175;;;;;;;;;
110002;200812;7814;;;;;;;;;
110003;200812;797;;;;;;;;;
110004;200812;6879;;;;;;;;;
110005;200812;1981;;;;;;;;;
110006;200812;3080;;;;;;;;;
110007;200812;1283;;;;;;;;;
110008;200812;2014;;;;;;;;;
110009;200812;3391;;;;;;;;;
110010;200812;5484;;;;;;;;;
110011;200812;8681;;;;;;;;;
110012;200812;11041;;;;;;;;;
110013;200812;3342;;;;;;;;;
110014;200812;2316;;;;;;;;;
110015;200812;3906;;;;;;;;;
110018;200812;3410;;;;;;;;;
110020;200812;29952;;;;;;;;;
110025;200812;2750;;;;;;;;;
110026;200812;611;;;;;;;;;
110028;200812;4144;;;;;;;;;
110029;200812;1406;;;;;;;;;
110030;200812;7559;;;;;;;;;
110032;200812;2779;;;;;;;;;
110033;200812;3189;;;;;;;;;
110034;200812;2657;;;;;;;;;
110037;200812;1194;;;;;;;;;
110040;200812;2496;;;;;;;;;
110045;200812;4096;;;;;;;;;
110050;200812;1294;;;;;;;;;
110060;200812;879;;;;;;;;;
110070;200812;1295;;;;;;;;;
110080;200812;2006;;;;;;;;;
110090;200812;890;;;;;;;;;
110092;200812;1154;;;;;;;;;
110094;200812;1226;;;;;;;;;
110100;200812;1866;;;;;;;;;
110110;200812;1066;;;;;;;;;
110120;200812;1610;;;;;;;;;
110130;200812;1399;;;;;;;;;
110140;200812;1727;;;;;;;;;
110143;200812;1280;;;;;;;;;
110145;200812;500;;;;;;;;;
110146;200812;342;;;;;;;;;
110147;200812;597;;;;;;;;;
110148;200812;1147;;;;;;;;;
110149;200812;1997;;;;;;;;;
110150;200812;2222;;;;;;;;;
110155;200812;656;;;;;;;;;
110160;200812;1346;;;;;;;;;
110170;200812;1648;;;;;;;;;
110175;200812;917;;;;;;;;;
110180;200812;1237;;;;;;;;;
120001;200812;1998;;;;;;;;;
120005;200812;1014;;;;;;;;;
120010;200812;2871;;;;;;;;;
120013;200812;1304;;;;;;;;;
120017;200812;1270;;;;;;;;;
120020;200812;9563;;;;;;;;;
120025;200812;1956;;;;;;;;;
120030;200812;4519;;;;;;;;;
120032;200812;896;;;;;;;;;
120033;200812;2746;;;;;;;;;
120034;200812;982;;;;;;;;;
120035;200812;1732;;;;;;;;;
120038;200812;2811;;;;;;;;;
120039;200812;575;;;;;;;;;
120040;200812;31529;;;;;;;;;
120042;200812;1883;;;;;;;;;
120043;200812;389;;;;;;;;;
120045;200812;3329;;;;;;;;;
120050;200812;6241;;;;;;;;;
120060;200812;4464;;;;;;;;;
120070;200812;1767;;;;;;;;;
120080;200812;2559;;;;;;;;;
130002;200812;1750;;;;;;;;;
130006;200812;1190;;;;;;;;;
130008;200812;1284;;;;;;;;;
130010;200812;1855;;;;;;;;;
130014;200812;2228;;;;;;;;;
130020;200812;1253;;;;;;;;;
130030;200812;4351;;;;;;;;;
130040;200812;2238;;;;;;;;;
